streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace2-2c06_2.csv,45.705,1.747,0.587,30.891
trace2-2c06_3.csv,56.513,2.069,0.507,41.131
trace2-2c06_4.csv,61.072,0.0,0.619,53.125
trace2-2c06_5.csv,75.622,0.0,0.553,67.461
trace2-2c06_phase_2_1.csv,11.561,4.821,0.472,-10.428
trace2-2c06_phase_2_2.csv,12.495,1.488,0.571,-3.746
trace2-2c06_phase_2_3.csv,22.934,2.988,0.573,6.631
trace2-2c06_phase_2_4.csv,33.568,2.488,0.576,17.266
trace2-4b69_1.csv,4.946,0.0,0.087,-9.407
trace2-4b69_2.csv,7.192,0.0,0.058,-2.08
trace2-4b69_3.csv,12.81,0.0,0.211,8.162
trace2-4b69_5.csv,62.76,0.0,0.283,58.196
trace2-4b69_phase_2_1.csv,72.89,0.0,0.1,66.447
trace2-4b69_phase_2_2.csv,73.946,0.0,0.096,67.595
trace2-4b69_phase_2_3.csv,73.005,0.0,0.119,66.492
trace2-4b69_phase_2_4.csv,73.425,0.0,0.096,66.938
trace2-6403_1.csv,10.913,13.227,0.23,0.267
trace2-6403_2.csv,12.501,15.22,0.062,7.003
trace2-6403_3.csv,17.38,8.334,0.203,16.564
trace2-6403_4.csv,25.151,16.087,0.224,26.62
trace2-6403_phase_2_1.csv,71.758,29.625,0.116,74.485
trace2-6403_phase_2_2.csv,70.988,30.09,0.116,73.665
trace2-6403_phase_2_3.csv,71.922,28.673,0.076,74.645
trace2-6403_phase_2_4.csv,71.512,28.84,0.099,74.847
trace2-6658_1.csv,17.461,2.943,0.26,-0.471
trace2-6658_3.csv,51.776,2.03,0.287,41.832
trace2-6658_4.csv,54.111,0.0,0.421,50.987
trace2-6658_5.csv,65.713,0.0,0.332,61.997
trace2-6658_phase_2_1.csv,14.746,2.467,0.381,2.751
trace2-6658_phase_2_2.csv,22.779,2.11,0.383,10.723
trace2-6658_phase_2_3.csv,32.497,3.11,0.386,20.644
trace2-6658_phase_2_4.csv,41.643,7.11,0.389,29.626
trace3-06a6_1.csv,0.588,0.0,0.772,-39.735
trace3-06a6_3.csv,43.327,0.0,0.789,12.759
trace3-06a6_4.csv,46.851,0.0,0.801,24.165
trace3-06a6_5.csv,51.928,0.0,0.817,35.423
trace3-06a6_phase_2_1.csv,0.0,0.0,0.85,-34.835
trace3-06a6_phase_2_2.csv,10.769,0.0,0.852,-23.795
trace3-06a6_phase_2_3.csv,21.706,0.0,0.854,-12.866
trace3-06a6_phase_2_4.csv,32.902,0.0,0.855,-1.67
trace3-08e1_1.csv,10.541,4.1,0.03,-1.418
trace3-08e1_2.csv,8.341,1.469,-0.059,2.845
trace3-08e1_3.csv,16.765,2.953,-0.236,11.253
trace3-08e1_4.csv,20.622,0.0,-0.014,20.76
trace3-08e1_phase_2_1.csv,41.785,0.0,-0.292,40.472
trace3-08e1_phase_2_2.csv,70.735,0.0,-0.292,69.074
trace3-08e1_phase_2_3.csv,69.228,0.0,-0.289,67.75
trace3-08e1_phase_2_4.csv,68.668,0.0,-0.291,67.69
trace3-1a6d_2.csv,37.027,10.4,0.601,14.139
trace3-1a6d_3.csv,43.884,9.972,0.7,26.737
trace3-1a6d_4.csv,47.343,9.021,0.716,31.661
trace3-1a6d_5.csv,57.674,8.569,0.657,42.836
trace3-1a6d_phase_2_1.csv,63.089,9.337,0.607,51.441
trace3-1a6d_phase_2_2.csv,62.145,9.123,0.607,50.896
trace3-1a6d_phase_2_3.csv,61.79,8.123,0.581,50.508
trace3-1a6d_phase_2_4.csv,68.506,10.027,0.583,55.769
trace3-2abf_2.csv,36.642,2.174,0.696,19.496
trace3-2abf_3.csv,44.524,0.582,0.612,28.835
trace3-2abf_4.csv,47.225,0.0,0.63,37.953
trace3-2abf_5.csv,52.929,0.0,0.654,47.482
trace3-2abf_phase_2_1.csv,28.497,2.252,0.69,4.493
trace3-2abf_phase_2_2.csv,21.936,3.752,0.691,3.436
trace3-2abf_phase_2_3.csv,31.637,6.252,0.691,13.87
trace3-2abf_phase_2_4.csv,35.689,3.252,0.692,17.785
trace3-2c06_2.csv,47.786,3.821,0.406,34.8
trace3-2c06_3.csv,56.363,3.547,0.413,45.04
trace3-2c06_4.csv,65.122,0.793,0.306,57.034
trace3-2c06_5.csv,74.822,1.192,0.338,71.37
trace3-2c06_phase_2_1.csv,12.137,6.655,0.404,-6.519
trace3-2c06_phase_2_2.csv,13.071,3.321,0.404,0.163
trace3-2c06_phase_2_3.csv,23.51,4.821,0.404,10.54
trace3-2c06_phase_2_4.csv,34.144,4.321,0.404,21.175
trace3-4b69_1.csv,5.376,12.092,0.286,-15.948
trace3-4b69_2.csv,6.948,12.405,0.368,-8.621
trace3-4b69_3.csv,17.243,13.203,0.382,1.621
trace3-4b69_5.csv,65.917,14.428,0.358,51.655
trace3-4b69_phase_2_1.csv,70.439,23.337,0.292,59.906
trace3-4b69_phase_2_2.csv,71.494,23.337,0.289,61.054
trace3-4b69_phase_2_3.csv,70.554,22.623,0.289,59.951
trace3-4b69_phase_2_4.csv,74.629,20.361,0.273,60.397
trace3-6403_1.csv,13.113,0.0,0.038,0.267
trace3-6403_2.csv,12.422,0.0,-0.05,7.003
trace3-6403_3.csv,22.025,0.0,-0.227,16.564
